Stock,Strategy,Win Rate,Max Drawdown,Return [%],Total Trades,Total Commissions [$],Net Return [%],CAGR [%],Sharpe Ratio
SLB,HOLCStrategy_Candle,39.29,-5.81,-0.75,28,56,-1.31,-0.27,-0.11
SLB,HOLCStrategy_Ema50,42.11,-3.25,0.93,19,38,0.55,0.33,0.19
LUV,HOLCStrategy_cents,31.03,-9.32,-7.59,29,58,-8.17,-2.73,-1.23
LUV,HOLCStrategy_Candle,41.67,-4.47,2.58,24,48,2.1,0.9,0.34
LUV,HOLCStrategy_Ema50,35.0,-9.52,-2.08,20,40,-2.48,-0.73,-0.3
TFC,HOLCStrategy_cents,44.74,-5.39,-0.67,38,76,-1.43,-0.23,-0.11
TFC,HOLCStrategy_Candle,38.24,-6.16,-1.71,34,68,-2.39,-0.61,-0.26
TFC,HOLCStrategy_Ema50,45.45,-2.82,2.64,11,22,2.42,0.92,0.57
USB,HOLCStrategy_cents,42.11,-6.05,0.98,38,76,0.22,0.34,0.13
USB,HOLCStrategy_Candle,37.21,-4.19,-2.37,43,86,-3.23,-0.84,-0.3
USB,HOLCStrategy_Ema50,33.33,-4.7,-1.85,15,30,-2.15,-0.65,-0.38
UDR,HOLCStrategy_cents,58.82,-5.88,10.0,34,68,9.32,3.41,1.28
UDR,HOLCStrategy_Candle,48.28,-4.52,5.66,29,58,5.08,1.95,0.79
UDR,HOLCStrategy_Ema50,33.33,-3.34,0.62,12,24,0.38,0.22,0.15
VZ,HOLCStrategy_cents,53.85,-2.85,6.0,39,78,5.22,2.07,0.89
VZ,HOLCStrategy_Candle,41.46,-4.34,-1.19,41,82,-2.01,-0.42,-0.13
VZ,HOLCStrategy_Ema50,27.27,-3.19,-1.21,11,22,-1.43,-0.43,-0.35
VTRS,HOLCStrategy_cents,42.86,-4.9,-0.56,35,70,-1.26,-0.2,-0.08
VTRS,HOLCStrategy_Candle,36.36,-6.43,0.16,33,66,-0.5,0.06,0.02
VTRS,HOLCStrategy_Ema50,44.44,-2.15,2.81,9,18,2.63,0.98,0.6
VICI,HOLCStrategy_cents,30.0,-8.55,-5.65,40,80,-6.45,-2.02,-0.87
VICI,HOLCStrategy_Candle,34.21,-6.53,-3.03,38,76,-3.79,-1.08,-0.44
VICI,HOLCStrategy_Ema50,41.67,-2.38,-0.22,12,24,-0.46,-0.08,-0.06
WBA,HOLCStrategy_cents,42.86,-8.61,2.98,35,70,2.28,1.04,0.33
WBA,HOLCStrategy_Candle,45.95,-5.34,9.24,37,74,8.5,3.15,0.97
WBA,HOLCStrategy_Ema50,50.0,-1.91,3.88,10,20,3.68,1.35,0.77
WBD,HOLCStrategy_cents,29.03,-7.48,-5.14,31,62,-5.76,-1.84,-0.7
WBD,HOLCStrategy_Candle,41.67,-4.95,7.65,36,72,6.93,2.62,0.82
WBD,HOLCStrategy_Ema50,55.56,-2.94,5.48,9,18,5.3,1.89,1.03
WY,HOLCStrategy_cents,34.21,-8.48,-5.92,38,76,-6.68,-2.12,-0.84
WY,HOLCStrategy_Candle,35.29,-6.84,-3.38,34,68,-4.06,-1.2,-0.51
WY,HOLCStrategy_Ema50,6.25,-8.12,-7.74,16,32,-8.06,-2.79,-1.8
