Stock,Strategy,Win Rate,Max Drawdown,Return [%],Total Trades,Total Commissions [$],Net Return [%],CAGR [%],Sharpe Ratio
KEY,VWAPReversalStrategy,43.78,-23.29,20.87,466,932,11.55,6.88,0.59
KIM,VWAPReversalStrategy,48.92,-14.68,15.68,462,924,6.44,5.24,0.72
KMI,VWAPReversalStrategy,45.32,-15.8,1.99,470,940,-7.41,0.69,0.11
KHC,VWAPReversalStrategy,47.67,-10.47,0.02,472,944,-9.42,0.01,-0.02
LVS,VWAPReversalStrategy,47.39,-10.12,19.22,460,920,10.02,6.36,0.81
MTCH,VWAPReversalStrategy,47.61,-8.4,61.27,460,920,52.07,18.25,1.63
MGM,VWAPReversalStrategy,49.36,-9.81,61.13,468,936,51.77,18.22,1.77
MRNA,VWAPReversalStrategy,37.55,-21.29,2.79,490,980,-7.01,0.97,0.11
MOS,VWAPReversalStrategy,45.47,-17.68,21.79,486,972,12.07,7.16,0.72
NEM,VWAPReversalStrategy,48.39,-15.67,10.47,434,868,1.79,3.56,0.51
NI,VWAPReversalStrategy,49.79,-10.08,4.7,478,956,-4.86,1.63,0.35
NCLH,VWAPReversalStrategy,40.25,-27.41,6.57,482,964,-3.07,2.26,0.24
PARA,VWAPReversalStrategy,39.01,-15.36,16.11,464,928,6.83,5.39,0.38
PFE,VWAPReversalStrategy,47.54,-15.3,4.07,448,896,-4.89,1.41,0.24
PCG,VWAPReversalStrategy,50.11,-8.39,22.52,437,874,13.78,7.4,1.1
PPL,VWAPReversalStrategy,47.56,-10.76,1.5,471,942,-7.92,0.52,0.15
RF,VWAPReversalStrategy,48.81,-13.77,18.22,461,922,9.0,6.06,0.75
SLB,VWAPReversalStrategy,46.97,-17.32,-3.61,462,924,-12.85,-1.28,-0.3
LUV,VWAPReversalStrategy,43.36,-22.02,-9.92,452,904,-18.96,-3.6,-0.6
TFC,VWAPReversalStrategy,46.55,-15.33,13.15,464,928,3.87,4.43,0.55
USB,VWAPReversalStrategy,47.23,-13.95,15.87,470,940,6.47,5.31,0.68
VZ,VWAPReversalStrategy,50.65,-11.24,-0.77,462,924,-10.01,-0.27,-0.0
VTRS,VWAPReversalStrategy,43.98,-14.12,-7.42,457,914,-16.56,-2.67,-0.41
VICI,VWAPReversalStrategy,44.08,-23.84,-20.09,422,844,-28.53,-7.58,-1.58
WBA,VWAPReversalStrategy,40.08,-21.16,27.5,474,948,18.02,8.91,0.74
WBD,VWAPReversalStrategy,37.58,-17.8,24.98,479,958,15.4,8.15,0.61
WY,VWAPReversalStrategy,51.49,-9.75,23.61,402,804,15.57,7.73,1.21
