Stock,Strategy,Win Rate,Max Drawdown,Return [%],Total Trades,Total Commissions [$],Net Return [%],CAGR [%],Sharpe Ratio
GEN,VWAPReversal,53.85,6.71,-0.11,26,52,-0.63,0,-0.33
GEN,VWAPReversalRSI,42.11,7.94,-2.47,19,38,-2.86,0,-0.73
GM,VWAPReversal,38.1,15.59,-14.27,63,126,-15.72,0,-2.38
GM,VWAPReversalRSI,38.64,14.14,-12.95,44,88,-13.95,0,-6.5
HAL,VWAPReversal,41.86,10.01,-7.86,86,172,-9.72,0,-1.57
HAL,VWAPReversalRSI,40.32,9.5,-2.34,62,124,-3.61,0,-0.5
DOC,VWAPReversal,33.33,13.17,-11.64,27,54,-12.24,0,-1.18
DOC,VWAPReversalRSI,27.27,9.16,-7.85,22,44,-8.33,0,-1.65
HPE,VWAPReversal,44.83,13.84,-1.8,58,116,-2.99,0,-0.33
HPE,VWAPReversalRSI,45.24,11.59,-1.14,42,84,-1.99,0,-0.21
HST,VWAPReversal,56.41,5.07,14.97,39,78,14.3,0,0.94
HST,VWAPReversalRSI,66.67,2.18,14.57,27,54,14.1,0,1.5
HPQ,VWAPReversal,57.14,5.24,7.9,28,56,7.38,0,1.24
HPQ,VWAPReversalRSI,52.63,5.29,3.03,19,38,2.66,0,0.02
HBAN,VWAPReversal,47.06,9.15,6.81,68,136,5.54,0,0.67
HBAN,VWAPReversalRSI,50.0,7.05,5.47,48,96,4.56,0,0.32
INTC,VWAPReversal,39.73,14.23,-8.67,146,292,-11.86,0,-0.84
INTC,VWAPReversalRSI,36.08,10.6,-8.84,97,194,-10.96,0,-1.36
IPG,VWAPReversal,30.77,14.11,-11.93,26,52,-12.51,0,-5.68
IPG,VWAPReversalRSI,33.33,8.37,-5.84,21,42,-6.29,0,-1.27
IVZ,VWAPReversal,50.0,8.11,0.79,52,104,-0.24,0,-0.12
IVZ,VWAPReversalRSI,51.28,7.9,1.06,39,78,0.28,0,-0.13
JNPR,VWAPReversal,61.54,2.57,1.72,13,26,1.47,0,-0.4
JNPR,VWAPReversalRSI,50.0,1.77,-0.46,4,8,-0.54,0,-5.34
KVUE,VWAPReversal,24.14,12.87,-13.63,29,58,-14.3,0,-1.54
KVUE,VWAPReversalRSI,22.22,9.31,-9.43,18,36,-9.83,0,-2.52
KDP,VWAPReversal,35.71,7.3,-1.5,14,28,-1.78,0,-0.58
KDP,VWAPReversalRSI,41.67,5.71,0.2,12,24,-0.04,0,-0.37
KEY,VWAPReversal,41.96,8.68,10.21,143,286,7.63,0,0.75
KEY,VWAPReversalRSI,42.71,7.7,11.81,96,192,10.1,0,0.5
KIM,VWAPReversal,46.43,5.15,1.17,28,56,0.61,0,-0.38
KIM,VWAPReversalRSI,52.63,3.36,1.83,19,38,1.45,0,-0.8
KMI,VWAPReversal,45.45,4.72,-2.6,11,22,-2.83,0,-1.6
KMI,VWAPReversalRSI,37.5,4.08,-2.68,8,16,-2.84,0,-3.28
KHC,VWAPReversal,31.58,5.92,-3.91,19,38,-4.3,0,-3.26
KHC,VWAPReversalRSI,31.25,5.61,-3.57,16,32,-3.91,0,-2.45
LVS,VWAPReversal,57.89,5.21,10.66,38,76,9.98,0,0.71
LVS,VWAPReversalRSI,52.17,3.76,6.8,23,46,6.37,0,0.4
MTCH,VWAPReversal,43.97,17.81,1.14,116,232,-1.15,0,-0.08
MTCH,VWAPReversalRSI,48.86,9.9,11.23,88,176,9.66,0,5.33
MGM,VWAPReversal,34.69,11.92,-5.67,49,98,-6.71,0,-0.83
MGM,VWAPReversalRSI,36.36,7.69,-2.24,33,66,-2.92,0,-0.61
MRNA,VWAPReversal,39.49,29.36,-11.16,276,552,-17.33,0,-0.35
MRNA,VWAPReversalRSI,42.86,15.65,24.24,168,336,21.6,0,0.95
MOS,VWAPReversal,42.05,11.23,7.62,88,176,5.99,0,0.99
MOS,VWAPReversalRSI,41.94,5.02,7.97,62,124,6.82,0,0.43
NEM,VWAPReversal,50.77,4.51,9.46,65,130,8.28,0,0.7
NEM,VWAPReversalRSI,45.65,4.9,5.08,46,92,4.21,0,0.24
NI,VWAPReversal,41.67,2.53,-0.12,12,24,-0.36,0,-1.23
NI,VWAPReversalRSI,36.36,2.61,-1.51,11,22,-1.73,0,-3.66
NCLH,VWAPReversal,41.97,16.52,-8.69,193,386,-12.9,0,-0.84
NCLH,VWAPReversalRSI,38.94,11.29,-4.37,113,226,-6.73,0,-0.66
PARA,VWAPReversal,43.9,14.24,14.58,164,328,11.74,0,0.55
PARA,VWAPReversalRSI,40.95,8.37,14.96,105,210,13.15,0,1.49
PFE,VWAPReversal,36.67,6.03,-1.75,30,60,-2.36,0,-0.61
PFE,VWAPReversalRSI,44.0,4.02,3.62,25,50,3.13,0,0.11
PCG,VWAPReversal,32.14,6.62,-0.13,28,56,-0.69,0,-0.34
PCG,VWAPReversalRSI,16.67,8.49,-8.87,18,36,-9.27,0,-11.06
PPL,VWAPReversal,28.57,4.14,-0.38,7,14,-0.53,0,-0.7
PPL,VWAPReversalRSI,33.33,3.47,0.31,6,12,0.19,0,-0.63
RF,VWAPReversal,42.31,7.31,3.93,52,104,2.93,0,0.16
RF,VWAPReversalRSI,48.57,5.88,6.54,35,70,5.89,0,1.15
SLB,VWAPReversal,46.97,10.26,7.45,66,132,6.23,0,0.29
SLB,VWAPReversalRSI,44.23,5.19,2.56,52,104,1.54,0,-0.11
LUV,VWAPReversal,46.97,8.26,7.98,66,132,6.76,0,0.29
LUV,VWAPReversalRSI,41.67,7.8,2.26,48,96,1.32,0,-0.01
TFC,VWAPReversal,30.0,21.03,-12.49,70,140,-14.08,0,-1.68
TFC,VWAPReversalRSI,30.43,9.18,-8.69,46,92,-9.69,0,-1.34
USB,VWAPReversal,40.0,11.56,2.03,70,140,0.66,0,-0.06
USB,VWAPReversalRSI,28.95,12.43,-3.2,38,76,-3.98,0,-0.48
VZ,VWAPReversal,41.67,2.88,-0.51,12,24,-0.75,0,-1.72
VZ,VWAPReversalRSI,50.0,2.04,2.12,10,20,1.93,0,-0.52
VTRS,VWAPReversal,41.82,9.95,2.54,55,110,1.47,0,0.01
VTRS,VWAPReversalRSI,47.62,3.93,8.02,42,84,7.24,0,0.69
VICI,VWAPReversal,45.45,2.81,-0.28,11,22,-0.5,0,-6.83
VICI,VWAPReversalRSI,33.33,3.0,-1.21,9,18,-1.4,0,-4.5
WBA,VWAPReversal,38.97,13.74,-1.91,136,272,-4.69,0,-0.43
WBA,VWAPReversalRSI,32.65,25.19,-25.58,98,196,-28.11,0,-1.83
WBD,VWAPReversal,34.56,29.98,-21.02,217,434,-26.38,0,-0.54
WBD,VWAPReversalRSI,38.69,14.07,1.35,137,274,-1.35,0,-0.07
WY,VWAPReversal,71.43,2.77,7.91,14,28,7.65,0,1.22
WY,VWAPReversalRSI,70.0,1.9,3.53,10,20,3.34,0,0.09
