Stock,Strategy,Win Rate,Max Drawdown,Return [%],Total Trades,Total Commissions [$],Net Return [%],CAGR [%],Sharpe Ratio
PARA,PivotVWAPStrategy,33.96,-10.94,-2.15,53,106,-3.21,-0.76,-0.19
PFE,PivotVWAPStrategy,37.5,-4.29,2.25,48,96,1.29,0.79,0.23
PCG,PivotVWAPStrategy,36.36,-4.45,0.79,33,66,0.13,0.28,0.11
PPL,PivotVWAPStrategy,30.0,-5.06,-4.01,30,60,-4.61,-1.43,-0.56
RF,PivotVWAPStrategy,53.12,-2.54,10.66,32,64,10.02,3.62,1.16
SLB,PivotVWAPStrategy,34.48,-7.6,-5.56,29,58,-6.14,-1.99,-0.6
LUV,PivotVWAPStrategy,25.0,-15.54,-10.83,48,96,-11.79,-3.95,-1.24
TFC,PivotVWAPStrategy,40.74,-5.78,2.24,27,54,1.7,0.78,0.23
USB,PivotVWAPStrategy,43.48,-5.91,5.98,46,92,5.06,2.06,0.54
UDR,PivotVWAPStrategy,39.29,-5.17,3.14,28,56,2.58,1.09,0.33
VZ,PivotVWAPStrategy,36.36,-7.55,-4.93,44,88,-5.81,-1.76,-0.35
VTRS,PivotVWAPStrategy,42.11,-7.26,4.14,57,114,3.0,1.44,0.41
VICI,PivotVWAPStrategy,46.15,-7.05,4.57,26,52,4.05,1.58,0.57
WBA,PivotVWAPStrategy,31.91,-6.6,-0.45,47,94,-1.39,-0.16,-0.05
WBD,PivotVWAPStrategy,27.4,-17.7,-12.73,73,146,-14.19,-4.67,-1.16
WY,PivotVWAPStrategy,44.44,-7.96,3.05,36,72,2.33,1.06,0.31
