Stock,Strategy,Win Rate,Max Drawdown,Return [%],Total Trades,Total Commissions [$],Net Return [%],CAGR [%],Sharpe Ratio
FITB,VWAPReversal,42.19,11.96,-10.95,64,128,-12.38,0,-1.81
FITB,VWAPReversalRSI,36.36,11.77,-8.65,44,88,-9.61,0,-1.88
FE,VWAPReversal,57.14,2.96,3.06,14,28,2.79,0,0.02
FE,VWAPReversalRSI,54.55,3.35,0.73,11,22,0.51,0,-0.54
BEN,VWAPReversal,42.5,9.71,0.08,40,80,-0.72,0,-0.15
BEN,VWAPReversalRSI,48.39,6.5,3.16,31,62,2.56,0,0.03
FCX,VWAPReversal,45.31,9.57,0.94,64,128,-0.33,0,-0.15
FCX,VWAPReversalRSI,57.5,7.75,9.92,40,80,9.2,0,0.58
GEN,VWAPReversal,60.0,7.47,6.09,35,70,5.43,0,0.17
GEN,VWAPReversalRSI,50.0,8.12,2.61,26,52,2.1,0,0.01
GM,VWAPReversal,43.33,11.05,-7.44,60,120,-8.73,0,-1.02
GM,VWAPReversalRSI,40.91,11.48,-6.96,44,88,-7.9,0,-1.09
HAL,VWAPReversal,41.18,9.6,-4.08,85,170,-5.85,0,-0.62
HAL,VWAPReversalRSI,36.51,7.62,-2.98,63,126,-4.28,0,-0.52
DOC,VWAPReversal,36.84,7.03,-5.99,38,76,-6.79,0,-2.09
DOC,VWAPReversalRSI,35.48,5.59,-5.09,31,62,-5.74,0,-1.61
HPE,VWAPReversal,39.68,13.21,-11.93,63,126,-13.35,0,-4.35
HPE,VWAPReversalRSI,43.18,6.82,-1.37,44,88,-2.27,0,-0.39
HST,VWAPReversal,58.97,3.41,10.2,39,78,9.5,0,1.03
HST,VWAPReversalRSI,69.23,3.35,10.05,26,52,9.57,0,0.84
HPQ,VWAPReversal,64.52,6.88,5.96,31,62,5.37,0,1.21
HPQ,VWAPReversalRSI,62.5,5.68,0.51,16,32,0.19,0,-0.91
HBAN,VWAPReversal,50.72,6.1,13.69,69,138,12.49,0,1.19
HBAN,VWAPReversalRSI,53.19,4.85,10.34,47,94,9.5,0,0.77
INTC,VWAPReversal,44.03,11.46,9.18,134,268,6.73,0,0.34
INTC,VWAPReversalRSI,38.55,12.36,2.26,83,166,0.63,0,0.0
IPG,VWAPReversal,39.29,9.74,-1.63,28,56,-2.2,0,-0.9
IPG,VWAPReversalRSI,44.0,4.59,1.45,25,50,0.96,0,-0.83
IVZ,VWAPReversal,56.14,4.37,15.47,57,114,14.49,0,1.2
IVZ,VWAPReversalRSI,63.64,3.7,17.25,44,88,16.51,0,1.14
JNPR,VWAPReversal,60.0,1.95,4.3,10,20,4.11,0,0.28
JNPR,VWAPReversalRSI,75.0,1.11,2.64,4,8,2.57,0,-0.08
KVUE,VWAPReversal,33.33,13.19,-9.27,33,66,-9.99,0,-0.61
KVUE,VWAPReversalRSI,36.36,9.21,-7.18,22,44,-7.65,0,-0.91
KDP,VWAPReversal,42.86,6.68,0.17,14,28,-0.11,0,-0.23
KDP,VWAPReversalRSI,45.45,5.58,0.28,11,22,0.06,0,-0.35
KEY,VWAPReversal,40.77,23.4,-15.88,130,260,-18.93,0,-0.62
KEY,VWAPReversalRSI,41.77,15.33,-4.62,79,158,-6.27,0,-0.45
KIM,VWAPReversal,50.0,6.43,1.73,32,64,1.1,0,-0.17
KIM,VWAPReversalRSI,50.0,4.38,0.71,20,40,0.32,0,-1.09
KMI,VWAPReversal,56.25,3.35,-0.42,16,32,-0.74,0,-1.19
KMI,VWAPReversalRSI,61.54,3.26,-0.39,13,26,-0.66,0,-3.05
KHC,VWAPReversal,33.33,5.12,-3.17,18,36,-3.55,0,-4.21
KHC,VWAPReversalRSI,31.25,5.12,-3.09,16,32,-3.42,0,-2.19
LVS,VWAPReversal,50.0,7.37,5.88,42,84,5.08,0,0.19
LVS,VWAPReversalRSI,53.12,6.33,7.35,32,64,6.76,0,0.35
MTCH,VWAPReversal,47.37,6.76,20.31,114,228,18.45,0,0.91
MTCH,VWAPReversalRSI,48.24,6.38,14.12,85,170,12.64,0,0.81
MGM,VWAPReversal,41.07,7.87,2.35,56,112,1.26,0,-0.13
MGM,VWAPReversalRSI,42.11,4.82,3.69,38,76,2.96,0,0.12
MRNA,VWAPReversal,41.09,27.33,1.32,258,516,-3.78,0,-0.1
MRNA,VWAPReversalRSI,45.83,14.35,22.21,144,288,19.91,0,1.37
MOS,VWAPReversal,37.76,16.58,-12.76,98,196,-14.99,0,-0.8
MOS,VWAPReversalRSI,37.88,12.44,-7.31,66,132,-8.73,0,-1.57
NEM,VWAPReversal,51.35,4.48,12.98,74,148,11.68,0,1.07
NEM,VWAPReversalRSI,48.21,5.61,6.94,56,112,5.89,0,0.78
NI,VWAPReversal,50.0,3.87,-0.69,12,24,-0.93,0,-3.71
NI,VWAPReversalRSI,45.45,3.79,-1.99,11,22,-2.22,0,-3.17
NCLH,VWAPReversal,47.89,12.95,24.85,190,380,21.89,0,2.25
NCLH,VWAPReversalRSI,44.44,8.92,6.99,108,216,4.98,0,0.33
PARA,VWAPReversal,41.56,21.51,-7.77,154,308,-11.1,0,-0.61
PARA,VWAPReversalRSI,35.42,20.46,-17.96,96,192,-20.26,0,-1.33
PFE,VWAPReversal,44.44,8.08,-6.72,27,54,-7.29,0,-2.83
PFE,VWAPReversalRSI,40.91,6.2,-4.61,22,44,-5.07,0,-4.31
PCG,VWAPReversal,35.48,6.31,-2.24,31,62,-2.88,0,-1.44
PCG,VWAPReversalRSI,22.22,8.35,-8.72,18,36,-9.11,0,-5.95
PPL,VWAPReversal,36.36,7.14,-5.21,11,22,-5.44,0,-1.07
PPL,VWAPReversalRSI,40.0,6.45,-4.47,10,20,-4.68,0,-0.96
RF,VWAPReversal,44.64,10.68,-2.93,56,112,-4.08,0,-1.11
RF,VWAPReversalRSI,50.0,7.9,0.46,38,76,-0.3,0,-0.4
SLB,VWAPReversal,47.76,10.14,7.96,67,134,6.72,0,0.29
SLB,VWAPReversalRSI,40.43,6.33,-1.86,47,94,-2.82,0,-0.59
LUV,VWAPReversal,52.7,8.33,13.71,74,148,12.42,0,0.62
LUV,VWAPReversalRSI,48.98,5.87,6.4,49,98,5.48,0,0.44
TFC,VWAPReversal,25.71,21.86,-22.34,70,140,-24.09,0,-1.12
TFC,VWAPReversalRSI,37.25,7.53,3.67,51,102,2.68,0,0.13
USB,VWAPReversal,41.54,13.66,0.56,65,130,-0.73,0,-0.08
USB,VWAPReversalRSI,35.14,10.56,-2.53,37,74,-3.28,0,-0.27
VZ,VWAPReversal,30.0,4.05,-2.81,10,20,-3.02,0,-18.41
VZ,VWAPReversalRSI,50.0,2.41,1.24,8,16,1.08,0,-0.42
VTRS,VWAPReversal,38.78,7.39,1.2,49,98,0.23,0,-0.12
VTRS,VWAPReversalRSI,48.39,4.13,2.42,31,62,1.81,0,-0.08
VICI,VWAPReversal,50.0,2.0,0.83,12,24,0.59,0,-1.84
VICI,VWAPReversalRSI,40.0,2.12,-0.11,10,20,-0.31,0,-1.53
WBA,VWAPReversal,39.29,18.2,-11.12,140,280,-14.24,0,-1.1
WBA,VWAPReversalRSI,40.86,12.08,3.02,93,186,1.22,0,0.02
WBD,VWAPReversal,40.09,20.3,-10.17,212,424,-14.86,0,-0.45
WBD,VWAPReversalRSI,49.25,6.49,26.55,134,268,24.49,0,1.97
WY,VWAPReversal,61.54,2.15,3.4,13,26,3.15,0,0.08
WY,VWAPReversalRSI,70.0,2.15,2.96,10,20,2.77,0,0.01
