Stock,Strategy,Win Rate,Max Drawdown,Return [%],Total Trades,Total Commissions [$],Net Return [%],CAGR [%],Sharpe Ratio
PPL,VWAPReversalStrategy,48.0,-18.35,0.91,475,950,-8.59,0.32,0.07
RF,VWAPReversalStrategy,48.93,-9.98,59.36,466,932,50.04,17.79,1.28
SLB,VWAPReversalStrategy,45.53,-20.24,28.97,470,940,19.57,9.35,0.81
LUV,VWAPReversalStrategy,45.3,-16.68,39.04,468,936,29.68,12.28,0.82
TFC,VWAPReversalStrategy,46.85,-12.34,29.02,476,952,19.5,9.36,0.7
USB,VWAPReversalStrategy,47.15,-14.35,44.36,473,946,34.9,13.77,0.98
VZ,VWAPReversalStrategy,53.72,-10.35,39.93,471,942,30.51,12.53,1.35
VTRS,VWAPReversalStrategy,42.74,-21.14,7.0,468,936,-2.36,2.41,0.18
VICI,VWAPReversalStrategy,48.02,-17.46,1.55,429,858,-7.03,0.54,0.07
WBA,VWAPReversalStrategy,39.87,-36.86,20.4,479,958,10.82,6.74,0.35
WBD,VWAPReversalStrategy,40.7,-21.54,87.46,484,968,77.78,24.7,1.08
WY,VWAPReversalStrategy,52.4,-11.06,57.15,416,832,48.83,17.21,1.67
